score,method,condition,process,item,subject
29.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D005
36.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D013
29.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D014
11.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D015
36.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D016
11.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D017
9.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D018
10.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix1_LD6,D019
30.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D005
40.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D013
41.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D014
7.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D015
29.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D016
9.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D017
10.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D018
10.0,DE,LP3.5,LP35,DE_CosmosLandromat_remix3_LD3,D019
27.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D005
11.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D013
45.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D014
11.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D015
26.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D016
12.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D017
17.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D018
20.0,DE,LP3.5,LP35,DE_ElephantsDream_LD0,D019
30.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D005
27.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D013
50.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D014
7.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D015
43.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D016
8.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D017
8.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D018
10.0,DE,LP3.5,LP35,DE_Meridian_remix1_LD3,D019
33.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D005
45.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D013
39.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D014
10.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D015
45.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D016
17.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D017
15.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D018
20.0,DE,LP3.5,LP35,DE_Meridian_remix2_LD6,D019
30.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D005
40.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D013
44.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D014
25.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D015
42.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D016
28.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D017
17.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D018
10.0,DE,LP3.5,LP35,DE_SitaSings_remix1_LD0,D019
24.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D005
41.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D013
